|time:0|1:2|2:1|3:0|4:1|5:1|6:0|7:0|8:330
|time:1,028536|1:2|2:7|3:2|4:1|5:1|6:0|7:0|8:330
|time:2,050421|1:2|2:13|3:6|4:1|5:1|6:0|7:0|8:330
|time:3,083957|1:2|2:11|3:10|4:1|5:1|6:0|7:0|8:330
|time:4,113453|1:2|2:11|3:12|4:1|5:1|6:0|7:0|8:330
|time:5,142815|1:2|2:12|3:9|4:1|5:1|6:0|7:0|8:330
|time:6,170651|1:2|2:12|3:11|4:1|5:1|6:0|7:0|8:330
|time:7,213609|1:2|2:20|3:17|4:1|5:1|6:0|7:0|8:330
|time:8,243087|1:2|2:13|3:16|4:1|5:1|6:0|7:0|8:330
|time:9,303746|1:2|2:14|3:14|4:1|5:1|6:0|7:0|8:330
|time:10,34683|1:2|2:12|3:12|4:1|5:1|6:0|7:0|8:330
|time:11,39132|1:2|2:17|3:14|4:1|5:1|6:0|7:0|8:330
|time:12,4283|1:2|2:14|3:15|4:1|5:1|6:0|7:0|8:330
|time:13,45758|1:2|2:20|3:23|4:1|5:1|6:0|7:0|8:330
|time:14,48988|1:3|2:12|3:26|4:1|5:2|6:0|7:0|8:330
|time:15,53306|1:3|2:11|3:23|4:1|5:2|6:0|7:0|8:330
