|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0
|time:1,034466|1:2|2:2|3:2|4:1|5:1|6:0|7:0
|time:2,064724|1:2|2:12|3:9|4:1|5:1|6:0|7:0
|time:3,132188|1:2|2:11|3:16|4:1|5:1|6:0|7:0
|time:4,151517|1:2|2:10|3:12|4:1|5:1|6:0|7:0
|time:5,174382|1:2|2:12|3:12|4:1|5:1|6:0|7:0
|time:6,208774|1:2|2:14|3:16|4:1|5:1|6:0|7:0
|time:7,239869|1:2|2:12|3:16|4:1|5:1|6:0|7:0
|time:8,261526|1:2|2:15|3:19|4:1|5:1|6:0|7:0
|time:9,28341|1:2|2:16|3:21|4:1|5:1|6:0|7:0
|time:10,32237|1:2|2:15|3:15|4:1|5:1|6:0|7:0
|time:11,34977|1:2|2:12|3:14|4:1|5:1|6:0|7:0
